cast_id,id,cast_gender,id_actors,cast_name
14.0,862,2.0,31.0,Tom Hanks
15.0,862,2.0,12898.0,Tim Allen
16.0,862,2.0,7167.0,Don Rickles
17.0,862,2.0,12899.0,Jim Varney
18.0,862,2.0,12900.0,Wallace Shawn
19.0,862,2.0,7907.0,John Ratzenberger
20.0,862,1.0,8873.0,Annie Potts
26.0,862,0.0,1116442.0,John Morris
22.0,862,2.0,12901.0,Erik von Detten
23.0,862,1.0,12133.0,Laurie Metcalf
24.0,862,2.0,8655.0,R. Lee Ermey
25.0,862,1.0,12903.0,Sarah Freeman
27.0,862,2.0,37221.0,Penn Jillette
1.0,8844,2.0,2157.0,Robin Williams
8.0,8844,2.0,8537.0,Jonathan Hyde
2.0,8844,1.0,205.0,Kirsten Dunst
24.0,8844,0.0,145151.0,Bradley Pierce
10.0,8844,1.0,5149.0,Bonnie Hunt
25.0,8844,1.0,10739.0,Bebe Neuwirth
26.0,8844,2.0,58563.0,David Alan Grier
11.0,8844,1.0,1276.0,Patricia Clarkson
14.0,8844,0.0,46530.0,Adam Hann-Byrd
13.0,8844,1.0,56523.0,Laura Bell Bundy
31.0,8844,2.0,51551.0,James Handy
12.0,8844,1.0,56522.0,Gillian Barber
28.0,8844,2.0,1000304.0,Brandon Obray
29.0,8844,0.0,188949.0,Cyrus Thiedeke
30.0,8844,0.0,1076551.0,Gary Joseph Thorup
32.0,8844,0.0,1480246.0,Leonard Zola
33.0,8844,2.0,25024.0,Lloyd Berry
34.0,8844,2.0,27110.0,Malcolm Stewart
35.0,8844,0.0,53715.0,Annabel Kershaw
36.0,8844,2.0,1379424.0,Darryl Henriques
37.0,8844,0.0,1235504.0,Robyn Driscoll
50.0,8844,2.0,25389.0,Peter Bryant
39.0,8844,0.0,1483449.0,Sarah Gilson
40.0,8844,0.0,1483450.0,Florica Vlad
41.0,8844,0.0,1483451.0,June Lion
42.0,8844,0.0,1483452.0,Brenda Lockmuller
2.0,15602,2.0,6837.0,Walter Matthau
3.0,15602,2.0,3151.0,Jack Lemmon
4.0,15602,1.0,13567.0,Ann-Margret
5.0,15602,1.0,16757.0,Sophia Loren
6.0,15602,1.0,589.0,Daryl Hannah
9.0,15602,2.0,16523.0,Burgess Meredith
10.0,15602,2.0,7166.0,Kevin Pollak
1.0,31357,1.0,8851.0,Whitney Houston
2.0,31357,1.0,9780.0,Angela Bassett
3.0,31357,1.0,18284.0,Loretta Devine
4.0,31357,1.0,51359.0,Lela Rochon
5.0,31357,2.0,66804.0,Gregory Hines
6.0,31357,2.0,352.0,Dennis Haysbert
8.0,31357,2.0,87118.0,Michael Beach
10.0,31357,2.0,34.0,Mykelti Williamson
20.0,31357,2.0,1276777.0,Lamont Johnson
21.0,31357,2.0,10814.0,Wesley Snipes
1.0,11862,2.0,67773.0,Steve Martin
2.0,11862,1.0,3092.0,Diane Keaton
3.0,11862,2.0,519.0,Martin Short
4.0,11862,1.0,70696.0,Kimberly Williams-Paisley
13.0,11862,2.0,59222.0,George Newbern
14.0,11862,0.0,18793.0,Kieran Culkin
15.0,11862,2.0,14592.0,BD Wong
16.0,11862,2.0,20906.0,Peter Michael Goetz
17.0,11862,1.0,54348.0,Kate McGregor-Stewart
18.0,11862,1.0,209.0,Jane Adams
19.0,11862,2.0,26510.0,Eugene Levy
20.0,11862,1.0,24358.0,Lori Alan
25.0,949,2.0,1158.0,Al Pacino
26.0,949,2.0,380.0,Robert De Niro
27.0,949,2.0,5576.0,Val Kilmer
28.0,949,2.0,10127.0,Jon Voight
29.0,949,2.0,3197.0,Tom Sizemore
30.0,949,1.0,6200.0,Diane Venora
31.0,949,1.0,15851.0,Amy Brenneman
32.0,949,1.0,15852.0,Ashley Judd
33.0,949,2.0,34.0,Mykelti Williamson
38.0,949,1.0,524.0,Natalie Portman
35.0,949,2.0,15854.0,Ted Levine
39.0,949,2.0,119232.0,Tom Noonan
41.0,949,2.0,31004.0,Tone Loc
42.0,949,2.0,5587.0,Hank Azaria
34.0,949,2.0,15853.0,Wes Studi
36.0,949,2.0,352.0,Dennis Haysbert
46.0,949,2.0,11160.0,Danny Trejo
47.0,949,2.0,9290.0,Henry Rollins
37.0,949,2.0,886.0,William Fichtner
43.0,949,2.0,34839.0,Kevin Gage
44.0,949,1.0,4158.0,Susan Traylor
48.0,949,2.0,86602.0,Jerry Trimble
50.0,949,2.0,158452.0,Ricky Harris
54.0,949,2.0,12799.0,Jeremy Piven
55.0,949,2.0,3982.0,Xander Berkeley
51.0,949,1.0,181343.0,Begonya Plaza
56.0,949,2.0,81687.0,Rick Avery
52.0,949,0.0,91756.0,Hazelle Goodman
53.0,949,2.0,160970.0,Ray Buktenica
59.0,949,0.0,175600.0,Max Daniels
60.0,949,0.0,12879.0,Vince Deadrick Jr.
96.0,949,2.0,9258.0,Steven Ford
97.0,949,1.0,167501.0,Farrah Forke
99.0,949,1.0,95145.0,Patricia Healy
100.0,949,2.0,58535.0,Paul Herman
101.0,949,1.0,161939.0,Cindy Katz
102.0,949,0.0,6580.0,Brian Libby
104.0,949,2.0,95796.0,Dan Martin
109.0,949,0.0,166543.0,Mario Roberts
110.0,949,0.0,43010.0,"Thomas Rosales, Jr."
112.0,949,1.0,37252.0,Yvonne Zima
116.0,949,0.0,1457709.0,Mick Gould
115.0,949,2.0,4971.0,Bud Cort
123.0,949,0.0,941147.0,Viviane Vives
45.0,949,1.0,17358.0,Kim Staunton
49.0,949,2.0,4790.0,Martin Ferrero
57.0,949,0.0,1090464.0,Brad Baldridge
58.0,949,0.0,1090465.0,Andrew Camuccio
94.0,949,0.0,1576419.0,Kenny Endoso
95.0,949,1.0,106714.0,Kimberly Flynn
98.0,949,0.0,116153.0,Niki Harris
103.0,949,0.0,237923.0,Bill McIntosh
105.0,949,0.0,4047.0,Rick Marzan
106.0,949,0.0,57347.0,Terry Miller
107.0,949,0.0,1576553.0,Daniel O'Haco
111.0,949,1.0,218094.0,Kai Soremekun
113.0,949,0.0,1491009.0,Peter Blackwell
114.0,949,0.0,1137847.0,Trevor Coppola
118.0,949,1.0,1504112.0,Mary Kircher
119.0,949,0.0,1504568.0,Darin Mangan
120.0,949,2.0,20625.0,Robert Miranda
121.0,949,2.0,1502517.0,Manny Perry
122.0,949,1.0,114625.0,Iva Franks Singer
124.0,949,0.0,1576562.0,Tim Werner
133.0,949,2.0,1584544.0,Philip Ettington
1.0,11860,2.0,3.0,Harrison Ford
2.0,11860,1.0,15887.0,Julia Ormond
3.0,11860,2.0,17141.0,Greg Kinnear
4.0,11860,1.0,4301.0,Angie Dickinson
11.0,11860,1.0,12957.0,Nancy Marchand
12.0,11860,2.0,8937.0,John Wood
13.0,11860,2.0,16554.0,Richard Crenna
14.0,11860,1.0,34485.0,Lauren Holly
15.0,11860,1.0,13314.0,Dana Ivey
16.0,11860,1.0,20234.0,Fanny Ardant
17.0,11860,0.0,73827.0,Patrick Bruel
56.0,11860,2.0,13242.0,Paul Giamatti
57.0,11860,1.0,1163.0,Miriam Colón
58.0,11860,1.0,138242.0,Elizabeth Franz
59.0,11860,1.0,62531.0,Valérie Lemercier
60.0,11860,1.0,59206.0,Becky Ann Baker
61.0,11860,2.0,163775.0,John C. Vennema
62.0,11860,1.0,452.0,Margo Martindale
63.0,11860,1.0,52475.0,J. Smith-Cameron
64.0,11860,1.0,1853632.0,Christine Luneau-Lipton
65.0,11860,2.0,1853633.0,Michael Dees
66.0,11860,0.0,153226.0,Denis Holmes
67.0,11860,1.0,1853634.0,Jo-Jo Lowe
68.0,11860,0.0,28029.0,Ira Wheeler
69.0,11860,1.0,1853638.0,Philippa Cooper
70.0,11860,1.0,97364.0,Ayako Kawahara
71.0,11860,0.0,1317065.0,François Genty
72.0,11860,2.0,6554.0,Guillaume Gallienne
73.0,11860,1.0,37918.0,Inés Sastre
74.0,11860,0.0,1217813.0,Phina Oruche
75.0,11860,1.0,1853644.0,Andrea Behalikova
76.0,11860,1.0,1115935.0,Jennifer Herrera
77.0,11860,1.0,1853645.0,Kristina Kumlin
78.0,11860,1.0,1853646.0,Eva Linderholm
79.0,11860,1.0,76093.0,Carmen Chaplin
80.0,11860,1.0,1853647.0,Micheline Van de Velde
81.0,11860,1.0,1853651.0,Joanna Rhodes
82.0,11860,2.0,1853653.0,Alan Boone
83.0,11860,0.0,1460738.0,Patrick Forster-Delmas
84.0,11860,2.0,1853654.0,Kentaro Matsuo
85.0,11860,0.0,1632066.0,Peter McKernan
86.0,11860,2.0,1853655.0,Ed Connelly
87.0,11860,2.0,4184.0,Ronald L. Schwary
88.0,11860,2.0,1853657.0,Alvin Lum
89.0,11860,1.0,1853658.0,Siching Song
90.0,11860,0.0,1357100.0,Phil Nee
91.0,11860,2.0,157428.0,Randy Becker
92.0,11860,1.0,1211979.0,Susan Browning
93.0,11860,2.0,1853660.0,Anthony Mondal
94.0,11860,2.0,1853661.0,Peter Parks
95.0,11860,0.0,1548251.0,Woodrow Asai
96.0,11860,0.0,1221663.0,Eric Bruno Borgman
97.0,11860,0.0,1811338.0,Michael Cline
98.0,11860,2.0,1853663.0,Christopher Del Gaudio
99.0,11860,2.0,1099770.0,Philippe Hartmann
100.0,11860,2.0,1853664.0,Jerry Quinn
101.0,11860,1.0,1853665.0,Dori Rosenthal
2.0,45325,2.0,53283.0,Jonathan Taylor Thomas
3.0,45325,2.0,51214.0,Brad Renfro
4.0,45325,1.0,38581.0,Rachael Leigh Cook
5.0,45325,2.0,8316.0,Michael McShane
6.0,45325,1.0,87007.0,Amy Wright
7.0,45325,2.0,57448.0,Eric Schweig
11.0,45325,1.0,102313.0,Tamara Mello
1.0,9091,2.0,15111.0,Jean-Claude Van Damme
2.0,9091,2.0,6280.0,Powers Boothe
4.0,9091,2.0,8656.0,Dorian Harewood
15.0,9091,2.0,10361.0,Raymond J. Barry
16.0,9091,2.0,12928.0,Ross Malinger
17.0,9091,1.0,79088.0,Whittni Wright
1.0,710,2.0,517.0,Pierce Brosnan
2.0,710,2.0,48.0,Sean Bean
3.0,710,1.0,10695.0,Izabella Scorupco
4.0,710,1.0,10696.0,Famke Janssen
5.0,710,2.0,10671.0,Joe Don Baker
6.0,710,1.0,5309.0,Judi Dench
7.0,710,2.0,3757.0,Gottfried John
8.0,710,2.0,1923.0,Robbie Coltrane
9.0,710,2.0,10697.0,Alan Cumming
10.0,710,2.0,10698.0,Tchéky Karyo
11.0,710,2.0,9906.0,Desmond Llewelyn
12.0,710,1.0,10699.0,Samantha Bond
13.0,710,2.0,10648.0,Michael Kitchen
14.0,710,1.0,10700.0,Serena Gordon
15.0,710,2.0,10701.0,Simon Kunz
37.0,710,0.0,55911.0,Billy J. Mitchell
38.0,710,2.0,27425.0,Constantine Gregory
39.0,710,1.0,6613.0,Minnie Driver
40.0,710,1.0,29054.0,Michelle Arthur
41.0,710,2.0,41742.0,Ravil Isyanov
1.0,9087,2.0,3392.0,Michael Douglas
2.0,9087,1.0,516.0,Annette Bening
3.0,9087,2.0,521.0,Michael J. Fox
4.0,9087,2.0,8349.0,Martin Sheen
11.0,9087,1.0,63279.0,Anna Deavere Smith
12.0,9087,1.0,112080.0,Shawna Waldron
13.0,9087,1.0,20767.0,Samantha Mathis
14.0,9087,2.0,19839.0,David Paymer
15.0,9087,2.0,3037.0,Richard Dreyfuss
16.0,9087,1.0,42133.0,Nina Siemaszko
17.0,9087,1.0,61980.0,Wendie Malick
18.0,9087,2.0,78494.0,Beau Billingslea
19.0,9087,1.0,42003.0,Gail Strickland
20.0,9087,2.0,131642.0,Joshua Malina
21.0,9087,2.0,43115.0,Clement von Franckenstein
22.0,9087,2.0,4251.0,John Mahoney
23.0,9087,2.0,43978.0,John Mahon
24.0,9087,0.0,92808.0,Gabriel Jarret
9.0,12110,2.0,7633.0,Leslie Nielsen
10.0,12110,2.0,14639.0,Mel Brooks
11.0,12110,1.0,1219.0,Amy Yasbeck
12.0,12110,2.0,12688.0,Peter MacNicol
13.0,12110,1.0,12812.0,Lysette Anthony
14.0,12110,2.0,13640.0,Harvey Korman
15.0,12110,2.0,6106.0,Steven Weber
17.0,12110,2.0,29709.0,Mark Blankfield
18.0,12110,1.0,53570.0,Megan Cavanagh
19.0,12110,2.0,170185.0,Gregg Binkley
20.0,12110,1.0,10774.0,Anne Bancroft
1.0,21032,2.0,4724.0,Kevin Bacon
2.0,21032,2.0,382.0,Bob Hoskins
8.0,21032,1.0,2233.0,Bridget Fonda
9.0,21032,2.0,12077.0,Jim Cummings
10.0,21032,2.0,110001.0,Phil Collins
19.0,21032,0.0,67386.0,Juliette Brewer
20.0,21032,2.0,19545.0,Jack Angel
21.0,21032,2.0,52699.0,Danny Mann
22.0,21032,2.0,77157.0,Robbie Rist
23.0,21032,1.0,176254.0,Sandra Dickinson
24.0,21032,2.0,15831.0,Frank Welker
11.0,21032,1.0,6199.0,Miriam Margolyes
25.0,21032,0.0,1592266.0,Lola Bates-Campbell
1.0,10858,2.0,4173.0,Anthony Hopkins
2.0,10858,1.0,11148.0,Joan Allen
16.0,10858,2.0,6280.0,Powers Boothe
13.0,10858,2.0,228.0,Ed Harris
14.0,10858,2.0,382.0,Bob Hoskins
15.0,10858,2.0,5249.0,E.G. Marshall
17.0,10858,2.0,19839.0,David Paymer
18.0,10858,2.0,11076.0,David Hyde Pierce
4.0,10858,2.0,7004.0,Paul Sorvino
20.0,10858,1.0,2453.0,Mary Steenburgen
3.0,10858,2.0,22131.0,J.T. Walsh
21.0,10858,2.0,4512.0,James Woods
22.0,10858,2.0,70843.0,Brian Bedford
23.0,10858,0.0,14721.0,Kevin Dunn
24.0,10858,2.0,56687.0,Fyvush Finkel
25.0,10858,1.0,49425.0,Annabeth Gish
26.0,10858,2.0,6840.0,Larry Hagman
27.0,10858,1.0,29803.0,Madeline Kahn
